City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,Denpasar,-8.65,115.2167,82.06,94,20,4.61,ID,1666370683
79,Butaritari,3.0707,172.7902,81.01,73,75,12.44,KI,1666370683
80,Seoul,37.5683,126.9778,51.24,97,75,2.3,KR,1666370288
81,Astoria,46.1879,-123.8313,51.85,95,100,4.21,US,1666370684
82,Sinnamary,5.3833,-52.95,85.6,65,90,9.6,GF,1666370684
83,Chernyshevskiy,63.0128,112.4714,25.45,91,100,3.98,RU,1666370684
84,Albany,42.6001,-73.9662,57.61,39,20,3.96,US,1666370008
85,Tiksi,71.6872,128.8694,4.91,97,44,6.71,RU,1666370685
86,Mayo,38.8876,-76.5119,66.34,40,0,4.61,US,1666370686
87,Ambon City,-3.6954,128.1814,75.34,94,72,6.91,ID,1666370686
88,Mont-Dore,-22.2833,166.5833,69.78,76,98,9.69,NC,1666370687
89,Saint-François,46.4154,3.9054,67.44,83,100,3.44,FR,1666370687
90,Isangel,-19.55,169.2667,73.08,80,92,13.6,VU,1666370688
91,Te Anau,-45.4167,167.7167,34.39,94,32,0.56,NZ,1666370688
92,Kupang,-10.1667,123.5833,80.67,79,63,4.14,ID,1666370689
93,San Quintín,30.4833,-115.95,71.06,68,34,3.71,MX,1666370689
94,Orange,33.7,-117.7675,77.68,81,20,0.0,US,1666370493
95,Havre-St-Pierre,50.2334,-63.5986,48.56,66,75,13.8,CA,1666370646
96,Longyearbyen,78.2186,15.6401,22.84,74,20,12.66,SJ,1666370455
97,Kavieng,-2.5744,150.7967,81.46,72,81,5.08,PG,1666370690
98,Yellowknife,62.456,-114.3525,30.72,86,100,6.91,CA,1666370691
99,Meulaboh,4.1363,96.1285,75.0,88,100,2.95,ID,1666370504
100,Cidreira,-30.1811,-50.2056,71.98,77,37,12.55,BR,1666370657
101,La Reforma,18.1,-91.0167,76.14,75,99,2.55,MX,1666370692
102,Taoudenni,22.6783,-3.9836,94.23,10,66,10.47,ML,1666370655
103,Coyhaique,-45.5752,-72.0662,51.75,35,0,5.75,CL,1666370693
104,Rincon,32.296,-81.2354,67.96,27,20,5.75,US,1666370492
105,Mabaruma,8.2,-59.7833,86.16,72,97,4.85,GY,1666370693
106,Ponta do Sol,32.6667,-17.1,77.0,90,99,4.16,PT,1666370694
107,Darhan,49.4867,105.9228,35.44,44,15,7.58,MN,1666370694
108,Carutapera,-1.195,-46.02,84.6,65,99,8.99,BR,1666370695
109,Khudumelapye,-23.8833,24.75,81.3,21,18,8.41,BW,1666370695
110,Creel,27.75,-107.6333,64.71,34,2,5.61,MX,1666370695
111,Primero de Enero,21.9469,-78.4283,81.88,68,88,4.38,CU,1666370696
112,Poum,-20.2333,164.0167,76.24,74,100,21.68,NC,1666370696
113,Garissa,-0.4536,39.6401,83.34,45,89,23.78,KE,1666370697
114,Kalianget,-7.05,113.9333,81.63,78,100,6.2,ID,1666370697
115,Pisco,-13.7,-76.2167,64.02,82,75,9.22,PE,1666370646
116,Taihe,30.8712,105.3845,67.33,49,9,2.01,CN,1666370698
117,Port Hardy,50.6996,-127.4199,46.58,100,100,4.61,CA,1666370698
118,Alice Springs,-23.7,133.8833,62.15,63,0,0.0,AU,1666370699
119,Leningradskiy,69.3833,178.4167,26.69,98,100,2.73,RU,1666370699
120,Lebu,-37.6167,-73.65,53.53,60,0,18.97,CL,1666370700
121,Genhe,50.7833,121.5167,18.34,95,12,1.7,CN,1666370700
122,Saint Paul Harbor,57.79,-152.4072,45.91,53,0,13.8,US,1666370700
123,Mehrān,33.1222,46.1646,82.4,20,15,6.42,IR,1666370701
124,‘Āhuimanu,21.4447,-157.8378,78.51,81,0,5.75,US,1666370702
125,San Borja,-14.8167,-66.85,70.05,97,100,7.7,BO,1666370702
126,Lockhart,28.6194,-81.4426,74.98,37,0,12.66,US,1666370526
127,Dzaoudzi,-12.7887,45.2699,76.89,73,0,3.44,YT,1666370703
128,Mendoza,-32.8908,-68.8272,72.93,27,0,13.8,AR,1666370699
129,Whitehorse,60.7161,-135.0538,36.37,91,100,3.44,CA,1666370512
130,Atuona,-9.8,-139.0333,76.53,67,97,17.47,PF,1666370705
131,Lata,40.1629,-8.3327,66.92,79,100,7.43,PT,1666370706
132,Berlevåg,70.8578,29.0864,32.0,74,0,13.8,NO,1666370706
